escenario,repeticion,total_intentos,precision_reglas,recall_reglas,f1_reglas,fp_reglas,fn_reglas,precision_ml,recall_ml,f1_ml,fp_ml,fn_ml
rapido,1,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,2,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,3,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,4,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,5,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,6,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,7,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,8,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,9,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,10,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,11,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,12,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,13,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,14,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
rapido,15,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,1,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,2,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,3,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,4,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,5,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,6,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,7,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,8,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,9,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,10,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,11,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,12,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,13,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,14,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
lento,15,10,1.0,0.6,0.75,0,4,1.0,0.9,0.947,0,1
distribuido,1,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,2,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,3,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,4,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,5,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,6,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,7,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,8,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,9,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,10,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,11,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,12,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,13,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,14,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
distribuido,15,6,1.0,0.5,0.667,0,3,0,0.0,0,0,6
legitimo,1,10,0,0,0,0,0,0.0,0,0,9,0
legitimo,2,10,0,0,0,0,0,0.0,0,0,10,0
legitimo,3,10,0,0,0,0,0,0.0,0,0,9,0
legitimo,4,10,0,0,0,0,0,0.0,0,0,10,0
legitimo,5,10,0,0,0,0,0,0.0,0,0,7,0
legitimo,6,10,0,0,0,0,0,0.0,0,0,10,0
legitimo,7,10,0,0,0,0,0,0.0,0,0,6,0
